X,Y,band1,band2,band3,band4,band5,band6,band7
2,226,58,44,36,16,10,116,11
2,227,53,41,31,17,12,116,11
2,228,57,40,29,17,11,116,10
2,229,55,40,30,16,10,115,9
2,230,56,42,30,16,10,115,8
2,231,58,41,29,16,11,113,8
2,232,58,41,29,16,11,113,8
2,233,55,41,29,15,12,113,11
2,234,56,42,33,17,9,113,10
2,235,56,43,31,16,10,115,10
2,236,59,44,35,16,12,115,10
2,237,56,44,36,16,10,115,10
2,238,57,45,38,17,11,115,10
2,239,60,47,39,18,10,113,10
2,240,60,48,43,17,10,113,10
2,241,59,48,44,16,10,114,10
2,242,60,46,45,34,19,114,13
2,243,52,36,33,60,29,117,17
2,244,53,39,36,52,26,117,18
2,245,58,43,42,40,22,118,14
2,246,57,42,40,41,17,118,12
2,247,50,40,33,47,16,116,14
2,248,55,42,36,43,16,116,12
2,249,56,45,38,40,16,115,13
2,250,58,45,38,24,13,115,9
2,251,51,39,32,44,21,117,15
2,252,50,37,32,56,27,117,15
2,253,53,37,30,56,27,120,16
2,254,53,38,31,55,28,120,15
2,255,51,37,32,49,27,118,16
2,256,53,37,30,46,29,118,17
2,257,52,37,29,53,25,116,15
2,258,50,32,27,37,16,116,12
2,259,49,32,26,40,27,116,17
2,260,53,38,37,68,57,116,33
2,261,56,45,43,76,64,120,36
2,262,55,41,41,69,50,120,28
2,263,56,43,40,73,50,117,31
2,264,49,33,31,37,30,117,20
2,265,51,32,27,38,33,116,22
2,266,56,41,36,61,40,116,23
2,267,52,39,33,56,31,117,19
2,268,49,34,27,58,31,117,18
2,269,55,43,40,76,54,121,33
2,270,56,45,46,62,64,121,37
2,271,55,40,38,55,51,120,31
2,272,50,33,26,43,30,120,20
2,273,48,30,20,38,26,115,17
2,274,49,31,24,38,28,115,16
